segment_id,segment_name,district,time_period,is_weekend,risk_score,risk_band,confidence_score,confidence_level,data_quality_score,mapping_confidence,synthetic_data_ratio,shap_evidence_score,data_quality_note,confidence_note
1005,Vasant Vihar to Vasant Kunj,South West,Night,1,37.01,Moderate,26.7,Low,0.0,50.0,1.0,46.01,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1005,Vasant Vihar to Vasant Kunj,South West,Late Night,0,39.92,Moderate,27.77,Low,0.0,50.0,1.0,51.33,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1005,Vasant Vihar to Vasant Kunj,South West,Late Night,1,45.04,High,27.61,Low,0.0,50.0,1.0,50.54,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1006,Vasant Kunj to Saket,South West,Morning,0,11.99,Low,25.95,Low,0.0,50.0,1.0,42.24,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1006,Vasant Kunj to Saket,South West,Morning,1,17.01,Low,25.94,Low,0.0,50.0,1.0,42.19,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1006,Vasant Kunj to Saket,South West,Day,0,8.08,Low,26.06,Low,0.0,50.0,1.0,42.78,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1006,Vasant Kunj to Saket,South West,Day,1,13.02,Low,26.06,Low,0.0,50.0,1.0,42.8,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1006,Vasant Kunj to Saket,South West,Evening,0,20.02,Low,25.53,Low,0.0,50.0,1.0,40.13,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1006,Vasant Kunj to Saket,South West,Evening,1,24.94,Low,25.53,Low,0.0,50.0,1.0,40.15,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1006,Vasant Kunj to Saket,South West,Night,0,32.0,Moderate,26.7,Low,0.0,50.0,1.0,45.99,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1006,Vasant Kunj to Saket,South West,Night,1,37.01,Moderate,26.7,Low,0.0,50.0,1.0,46.01,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1006,Vasant Kunj to Saket,South West,Late Night,0,39.97,Moderate,27.77,Low,0.0,50.0,1.0,51.33,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1006,Vasant Kunj to Saket,South West,Late Night,1,45.02,High,27.61,Low,0.0,50.0,1.0,50.53,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1007,Saket to Malviya Nagar,South,Morning,0,17.53,Low,24.27,Low,0.0,50.0,1.0,33.87,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1007,Saket to Malviya Nagar,South,Morning,1,22.75,Low,24.16,Low,0.0,50.0,1.0,33.29,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1007,Saket to Malviya Nagar,South,Day,0,13.38,Low,25.11,Low,0.0,50.0,1.0,38.05,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1007,Saket to Malviya Nagar,South,Day,1,18.58,Low,25.02,Low,0.0,50.0,1.0,37.62,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1007,Saket to Malviya Nagar,South,Evening,0,25.36,Moderate,23.79,Low,0.0,50.0,1.0,31.47,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1007,Saket to Malviya Nagar,South,Evening,1,30.43,Moderate,23.74,Low,0.0,50.0,1.0,31.2,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1007,Saket to Malviya Nagar,South,Night,0,37.37,Moderate,24.78,Low,0.0,50.0,1.0,36.4,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1007,Saket to Malviya Nagar,South,Night,1,42.55,High,24.7,Low,0.0,50.0,1.0,36.0,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1007,Saket to Malviya Nagar,South,Late Night,0,45.38,High,26.77,Low,0.0,50.0,1.0,46.36,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1007,Saket to Malviya Nagar,South,Late Night,1,50.58,High,26.55,Low,0.0,50.0,1.0,45.24,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1008,Malviya Nagar to Hauz Khas,South,Morning,0,17.57,Low,24.28,Low,0.0,50.0,1.0,33.89,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1008,Malviya Nagar to Hauz Khas,South,Morning,1,22.75,Low,24.16,Low,0.0,50.0,1.0,33.29,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1008,Malviya Nagar to Hauz Khas,South,Day,0,13.44,Low,25.11,Low,0.0,50.0,1.0,38.04,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1008,Malviya Nagar to Hauz Khas,South,Day,1,18.59,Low,25.02,Low,0.0,50.0,1.0,37.61,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1008,Malviya Nagar to Hauz Khas,South,Evening,0,25.38,Moderate,23.79,Low,0.0,50.0,1.0,31.44,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1008,Malviya Nagar to Hauz Khas,South,Evening,1,30.45,Moderate,23.74,Low,0.0,50.0,1.0,31.18,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1008,Malviya Nagar to Hauz Khas,South,Night,0,37.41,Moderate,24.78,Low,0.0,50.0,1.0,36.38,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1008,Malviya Nagar to Hauz Khas,South,Night,1,42.57,High,24.7,Low,0.0,50.0,1.0,35.99,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1008,Malviya Nagar to Hauz Khas,South,Late Night,0,45.48,High,26.78,Low,0.0,50.0,1.0,46.38,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1008,Malviya Nagar to Hauz Khas,South,Late Night,1,50.58,High,26.55,Low,0.0,50.0,1.0,45.23,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1009,Hauz Khas to AIIMS Ring Road,South,Morning,0,17.55,Low,24.26,Low,0.0,50.0,1.0,33.81,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1009,Hauz Khas to AIIMS Ring Road,South,Morning,1,22.68,Low,24.16,Low,0.0,50.0,1.0,33.3,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1009,Hauz Khas to AIIMS Ring Road,South,Day,0,13.44,Low,25.09,Low,0.0,50.0,1.0,37.97,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1009,Hauz Khas to AIIMS Ring Road,South,Day,1,18.53,Low,25.02,Low,0.0,50.0,1.0,37.62,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1009,Hauz Khas to AIIMS Ring Road,South,Evening,0,25.48,Moderate,23.78,Low,0.0,50.0,1.0,31.42,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1009,Hauz Khas to AIIMS Ring Road,South,Evening,1,30.5,Moderate,23.75,Low,0.0,50.0,1.0,31.24,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1009,Hauz Khas to AIIMS Ring Road,South,Night,0,37.49,Moderate,24.75,Low,0.0,50.0,1.0,36.27,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1009,Hauz Khas to AIIMS Ring Road,South,Night,1,42.56,High,24.69,Low,0.0,50.0,1.0,35.94,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1009,Hauz Khas to AIIMS Ring Road,South,Late Night,0,45.46,High,26.77,Low,0.0,50.0,1.0,46.36,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1009,Hauz Khas to AIIMS Ring Road,South,Late Night,1,50.53,High,26.54,Low,0.0,50.0,1.0,45.21,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1010,AIIMS to Lajpat Nagar (Ring Road),South East,Morning,0,17.86,Low,24.1,Low,0.0,50.0,1.0,32.98,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1010,AIIMS to Lajpat Nagar (Ring Road),South East,Morning,1,22.9,Low,24.02,Low,0.0,50.0,1.0,32.6,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1010,AIIMS to Lajpat Nagar (Ring Road),South East,Day,0,13.81,Low,24.89,Low,0.0,50.0,1.0,36.94,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1010,AIIMS to Lajpat Nagar (Ring Road),South East,Day,1,18.86,Low,24.82,Low,0.0,50.0,1.0,36.61,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1010,AIIMS to Lajpat Nagar (Ring Road),South East,Evening,0,25.85,Moderate,23.56,Low,0.0,50.0,1.0,30.3,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1010,AIIMS to Lajpat Nagar (Ring Road),South East,Evening,1,30.87,Moderate,23.54,Low,0.0,50.0,1.0,30.2,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1010,AIIMS to Lajpat Nagar (Ring Road),South East,Night,0,37.72,Moderate,24.58,Low,0.0,50.0,1.0,35.39,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1010,AIIMS to Lajpat Nagar (Ring Road),South East,Night,1,42.88,High,24.55,Low,0.0,50.0,1.0,35.26,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1010,AIIMS to Lajpat Nagar (Ring Road),South East,Late Night,0,45.94,High,26.56,Low,0.0,50.0,1.0,45.32,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1010,AIIMS to Lajpat Nagar (Ring Road),South East,Late Night,1,50.84,High,26.35,Low,0.0,50.0,1.0,44.25,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1011,Lajpat Nagar to Kalkaji,South East,Morning,0,17.88,Low,24.1,Low,0.0,50.0,1.0,32.98,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1011,Lajpat Nagar to Kalkaji,South East,Morning,1,22.91,Low,24.02,Low,0.0,50.0,1.0,32.6,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1011,Lajpat Nagar to Kalkaji,South East,Day,0,13.81,Low,24.89,Low,0.0,50.0,1.0,36.97,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1011,Lajpat Nagar to Kalkaji,South East,Day,1,18.87,Low,24.83,Low,0.0,50.0,1.0,36.63,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1011,Lajpat Nagar to Kalkaji,South East,Evening,0,25.92,Moderate,23.56,Low,0.0,50.0,1.0,30.29,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1011,Lajpat Nagar to Kalkaji,South East,Evening,1,30.93,Moderate,23.54,Low,0.0,50.0,1.0,30.2,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1011,Lajpat Nagar to Kalkaji,South East,Night,0,37.81,Moderate,24.57,Low,0.0,50.0,1.0,35.35,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1011,Lajpat Nagar to Kalkaji,South East,Night,1,42.85,High,24.55,Low,0.0,50.0,1.0,35.25,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1011,Lajpat Nagar to Kalkaji,South East,Late Night,0,46.01,High,26.57,Low,0.0,50.0,1.0,45.34,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1011,Lajpat Nagar to Kalkaji,South East,Late Night,1,50.87,High,26.35,Low,0.0,50.0,1.0,44.27,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1012,Kalkaji to Okhla Industrial Area,South East,Morning,0,17.85,Low,24.11,Low,0.0,50.0,1.0,33.05,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1012,Kalkaji to Okhla Industrial Area,South East,Morning,1,22.89,Low,24.02,Low,0.0,50.0,1.0,32.61,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1012,Kalkaji to Okhla Industrial Area,South East,Day,0,13.77,Low,24.91,Low,0.0,50.0,1.0,37.06,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1012,Kalkaji to Okhla Industrial Area,South East,Day,1,18.85,Low,24.83,Low,0.0,50.0,1.0,36.66,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1012,Kalkaji to Okhla Industrial Area,South East,Evening,0,25.84,Moderate,23.58,Low,0.0,50.0,1.0,30.38,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1012,Kalkaji to Okhla Industrial Area,South East,Evening,1,30.83,Moderate,23.54,Low,0.0,50.0,1.0,30.21,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1012,Kalkaji to Okhla Industrial Area,South East,Night,0,37.73,Moderate,24.57,Low,0.0,50.0,1.0,35.36,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1012,Kalkaji to Okhla Industrial Area,South East,Night,1,42.87,High,24.55,Low,0.0,50.0,1.0,35.25,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1012,Kalkaji to Okhla Industrial Area,South East,Late Night,0,45.97,High,26.56,Low,0.0,50.0,1.0,45.32,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
